Date,close
1-Jan-17,8.20
2-Jan-17,8.37
3-Jan-17,9.74
4-Jan-17,11.00
5-Jan-17,10.15
6-Jan-17,10.08
7-Jan-17,9.84
8-Jan-17,10.28
9-Jan-17,10.26
10-Jan-17,10.61
11-Jan-17,9.79
12-Jan-17,9.83
13-Jan-17,9.67
14-Jan-17,9.67
15-Jan-17,9.81
16-Jan-17,9.61
17-Jan-17,10.12
18-Jan-17,10.19
19-Jan-17,10.38
20-Jan-17,10.62
21-Jan-17,10.95
22-Jan-17,10.64
23-Jan-17,10.77
24-Jan-17,10.50
25-Jan-17,10.48
26-Jan-17,10.63
27-Jan-17,10.50
28-Jan-17,10.51
29-Jan-17,10.46
30-Jan-17,10.53
31-Jan-17,10.71
1-Feb-17,10.71
2-Feb-17,10.80
3-Feb-17,10.93
4-Feb-17,11.32
5-Feb-17,11.18
6-Feb-17,11.32
7-Feb-17,11.41
8-Feb-17,11.35
9-Feb-17,10.90
10-Feb-17,11.30
11-Feb-17,11.33
12-Feb-17,11.26
13-Feb-17,11.35
14-Feb-17,12.96
15-Feb-17,12.92
16-Feb-17,12.92
17-Feb-17,12.76
18-Feb-17,12.79
19-Feb-17,12.80
20-Feb-17,12.40
21-Feb-17,12.82
22-Feb-17,12.68
23-Feb-17,13.27
24-Feb-17,13.11
25-Feb-17,13.55
26-Feb-17,14.57
27-Feb-17,15.50
28-Feb-17,15.86
1-Mar-17,17.43
2-Mar-17,19.02
3-Mar-17,19.49
4-Mar-17,18.50
5-Mar-17,19.35
6-Mar-17,19.51
7-Mar-17,18.88
8-Mar-17,16.51
9-Mar-17,17.75
10-Mar-17,19.18
11-Mar-17,21.30
12-Mar-17,23.20
13-Mar-17,28.40
14-Mar-17,28.66
15-Mar-17,34.80
16-Mar-17,45.07
17-Mar-17,44.65
18-Mar-17,34.20
19-Mar-17,43.17
20-Mar-17,42.06
21-Mar-17,42.45
22-Mar-17,41.46
23-Mar-17,43.14
24-Mar-17,54.01
25-Mar-17,50.75
26-Mar-17,50.46
27-Mar-17,48.93
28-Mar-17,50.16
29-Mar-17,52.88
30-Mar-17,51.62
31-Mar-17,49.72
1-Apr-17,50.59
2-Apr-17,48.60
3-Apr-17,44.28
4-Apr-17,44.41
5-Apr-17,45.35
6-Apr-17,43.11
7-Apr-17,42.25
8-Apr-17,44.51
9-Apr-17,43.94
10-Apr-17,44.17
11-Apr-17,44.21
12-Apr-17,46.85
13-Apr-17,50.65
14-Apr-17,48.50
15-Apr-17,49.71
16-Apr-17,49.58
17-Apr-17,49.52
18-Apr-17,52.42
19-Apr-17,49.66
20-Apr-17,51.96
21-Apr-17,51.37
22-Apr-17,52.15
23-Apr-17,53.33
24-Apr-17,53.54
25-Apr-17,53.90
26-Apr-17,57.31
27-Apr-17,68.00
28-Apr-17,76.00
29-Apr-17,73.55
30-Apr-17,83.51
1-May-17,81.40
2-May-17,82.01
3-May-17,85.79
4-May-17,99.20
5-May-17,91.50
6-May-17,96.65
7-May-17,94.21
8-May-17,88.97
9-May-17,88.94
10-May-17,88.33
11-May-17,89.38
12-May-17,86.99
